gene_symbol	n_variants
HSP90AB3P	4
HSPA1L	4
IDI2	4
IFITM3P7	4
IGHV3-20	4
IGLV1-40	4
IHO1	4
IL17RE	4
IL9RP2	4
JUN-DT	4
KCNMB2-AS1	4
KCNS3	4
KHDC1-AS1	4
KIF9-AS1	4
KNDC1	4
LAMP3	4
LCIIAR	4
LENG1	4
LENG8	4
LETR1	4
LIFR-AS1	4
LILRP1	4
LINC00290	4
LINC00310	4
LINC00355	4
LINC00387	4
LINC00412	4
LINC00507	4
LINC00508	4
LINC00587	4
LINC00632	4
LINC00642	4
LINC00680	4
LINC00871	4
LINC00882	4
LINC00905	4
LINC00924	4
LINC01012	4
LINC01016	4
LINC01029	4
LINC01208	4
LINC01234	4
LINC01278	4
LINC01285	4
LINC01324	4
LINC01331	4
LINC01339	4
LINC01347	4
LINC01482	4
LINC01516	4
LINC01517	4
LINC01579	4
LINC01725	4
LINC01744	4
LINC01789	4
LINC01800	4
LINC01828	4
LINC01830	4
LINC01837	4
LINC01849	4
LINC01866	4
LINC01900	4
LINC01908	4
LINC01924	4
LINC01927	4
LINC01999	4
LINC02020	4
LINC02069	4
LINC02074	4
LINC02177	4
LINC02296	4
LINC02300	4
LINC02325	4
LINC02337	4
LINC02373	4
LINC02436	4
LINC02438	4
LINC02457	4
LINC02490	4
LINC02532	4
LINC02535	4
LINC02607	4
LINC02641	4
LINC02645	4
LINC02663	4
LINC02743	4
LINC02752	4
LINC02774	4
LINC02775	4
LINC02799	4
LINC02861	4
LINC02873	4
LINC02888	4
LINC02901	4
LINC03025	4
LINC03041	4
LINC03131	4
LINC03135	4
LINC03138	4
LMNB1	4
LNC-LBCS	4
LRP6	4
LRRC52-AS1	4
LSM3P3	4
MCPH1-DT	4
MED9	4
MFSD14CP	4
MIR100HG	4
MIR222HG	4
MIR31HG	4
MIR4422HG	4
MIR497HG	4
MKI67	4
MMADHC-DT	4
MOCS1P1	4
MUC17	4
MUC20	4
MUC21	4
MYO5BP3	4
NDUFAF1	4
NLRP9P1	4
NOC2LP1	4
NOVA1-DT	4
NPIPA2	4
NPIPB2	4
NR2F2-AS1	4
NRG4	4
NUCKS1	4
NUP85	4
OPRD1	4
OR10G8	4
OR10P1	4
OR6S1	4
OR9G1	4
OTX2-AS1	4
OVOL2	4
P3H2-AS1	4
PABPC5-AS1	4
PARD6G	4
PCGF7P	4
PDILT	4
PDX1	4
PKD1	4
PLIN4	4
PLK5	4
PLPP3	4
PLUT	4
POLG	4
POLR1HASP	4
POM121L9P	4
POT1-AS1	4
PPP1R26-AS1	4
PRB4	4
PRDX6-AS1	4
PRELID2	4
PROS1	4
PROX1-AS1	4
PRSS23-AS1	4
PRSS3	4
PSMD14-DT	4
PTGES3	4
PUDP	4
PURB	4
PYDC2-AS1	4
R3HDM4	4
RAB11A	4
RABGEF1P3	4
RAP2C-AS1	4
RAPGEF3	4
RASGRF1	4
RDUR	4
RELA-DT	4
REXO1L9P	4
RFX1	4
RN7SL621P	4
RN7SL769P	4
RNASEH1	4
RNF187	4
RNF217-AS1	4
RNU6-1287P	4
RPL18	4
RPL32P31	4
RPL34-DT	4
RPL8	4
RPSAP52	4
RPSAP67	4
RRM2	4
RUNX1	4
SAMD12-AS1	4
SBF1P2	4
SCAT1	4
SCHLAP1	4
SEMA6A-AS2	4
SEPHS1	4
SH2B2	4
SIAH1	4
SLC38A4-AS1	4
SLC38A7	4
SMARCA4	4
SMIM14-DT	4
SMIM29-AS1	4
SNORD3A	4
SPACA6	4
SPATA45	4
SPEN-AS1	4
SPESP1	4
SPHK1	4
SPOPL-DT	4
SRPK2	4
SSU72P6	4
SSX14P	4
ST3GAL6-AS1	4
SVIL2P	4
TAF12	4
TARID	4
TBC1D8	4
TEKT4P2	4
TGFBR1P1	4
TLR1	4
TMEM252-DT	4
TMEM40	4
TPT1P2	4
TRBV5-5	4
TRBV5-7	4
TTC6	4
TTLL1	4
TTLL6	4
TUBA1C	4
TUBB7P	4
TWSG1-DT	4
U6	4
UBA6-DT	4
USP10	4
USP33	4
UTF1	4
VENTXP1	4
VGLL4	4
WBP1L	4
WDPCP	4
WDR11-DT	4
ZNF169	4
ZNF398	4
ZNF579	4
ZNF630	4
ZNF717	4
ZNF815P	4
ZNF833P	4
A1CF	3
ABCA1	3
ABCC13	3
ABRACL	3
ACTG1P17	3
ADAM7-AS1	3
ADAMTS7P4	3
ADGRL3-AS1	3
ADIRF	3
ADM2	3
ADORA2A-AS1	3
AHI1-DT	3
AHNAK2	3
ALG12	3
ALOX5	3
ANAPC1	3
ANAPC11	3
ANAPC1P2	3
ANK2	3
ANKRD11P1	3
ANKRD19P	3
ANKRD20A7P	3
ANKRD20A8P	3
AOC2	3
AOX3P	3
APCDD1L	3
APRG1	3
APTR	3
APTX	3
AQP4-AS1	3
AQR	3
ARHGAP32	3
ARHGDIG	3
ARLNC1	3
ARMS2	3
ARSA	3
ASPSCR1	3
ATAD3A	3
ATF5	3
ATP11AUN	3
ATP13A3-DT	3
ATP5MGL	3
ATP5MJ	3
ATXN1L	3
ATXN3	3
AURKAIP1	3
BAX	3
BBS10	3
BBS9	3
BHLHA9	3
BHLHE40-AS1	3
BLOC1S3	3
BPIFC	3
BTBD16	3
BTF3L4	3
BTF3P14	3
BTG1-DT	3
C15ORF39	3
C2CD2	3
C2ORF42	3
C2ORF74	3
C5ORF15	3
CALR	3
