gene_symbol	n_variants
MIR4527HG	86
MTSS1	86
NSUN4	86
PFKFB3	86
PTPN12	86
SHROOM3	86
SLC1A6	86
TSPAN18	86
TTC7A	86
UBE3C	86
UTRN	86
ZC3H3	86
ADCK1	85
AOAH	85
CCDC169	85
CEP85L	85
CNBD1	85
DLEU1	85
FUT8	85
LINC00571	85
LINC01331	85
MKLN1	85
MLC1	85
NAV1	85
NCAM1	85
PIP5K1B	85
PKNOX1	85
PLEKHA6	85
PPFIBP1	85
PPP4R2	85
SLC35F1	85
SMARCC1	85
TBC1D14	85
TRPM2	85
TSPAN8	85
WASHC5	85
ZNF469	85
ZNF568	85
ABCC9	84
ALPK2	84
ARHGAP15	84
CACNA1B	84
CAP2	84
CPPED1	84
DAPK2	84
EPB41L4A	84
FIRRM	84
GALNT10	84
GNG4	84
GRIN2B	84
IFT88	84
IGSF5	84
LDB2	84
LINC00578	84
LINC00877	84
LINC01208	84
LINC01588	84
LINC02253	84
MB21D2	84
MCU	84
MERTK	84
MSR1	84
NBPF9	84
NOL9	84
PADI6	84
POLR1HASP	84
PXK	84
SLC1A7	84
SLC30A9	84
SNX30	84
SULF2	84
SYT9	84
TBCE	84
TNS1	84
TRIM5	84
ZNF438	84
ADGRL4	83
AJAP1	83
ARHGAP44	83
ATXN7L1	83
CMAHP	83
DENND4C	83
ERO1B	83
FAM131C	83
FOXK1	83
GABRB1	83
GALNT2	83
GPR158	83
INPP5A	83
IPO11	83
LHFPL6	83
LINC01411	83
LINC02505	83
LINC02742	83
MYH11	83
MYO15B	83
MYO1H	83
NWD1	83
PBRM1	83
PLEKHM3	83
PPP6R2	83
RRP12	83
RTN4RL1	83
SETX	83
SLC23A2	83
SLC8A1	83
STOX2	83
SUCLG2-DT	83
VWA8	83
AGMO	82
C16ORF95	82
CDK12	82
CPE	82
DIAPH3	82
EHMT1	82
FBLN1	82
FGF14	82
FLVCR1	82
GNA12	82
LGR6	82
LINC00937	82
LINC01060	82
LINC01088	82
MAMDC2	82
METTL16	82
MYT1	82
NKAIN1	82
NLRC5	82
NPSR1	82
PACS1	82
PPFIBP2	82
RBL1	82
RNF17	82
SDHAP1	82
SMPD4BP	82
SRL	82
ST6GALNAC3	82
TDRD10	82
TMPRSS9	82
TRAPPC8	82
A2ML1	81
CAPN2	81
CHN2	81
CTBP2P1	81
DNM1L	81
EFCAB2	81
EXOC2	81
FAF1	81
FAM135A	81
FAM149A	81
GAK	81
GNA15	81
GP6	81
GRB10	81
KCNB2	81
MED13L	81
MLXIP	81
PCDH11X	81
PID1	81
PLXNA2	81
PPL	81
PTBP3	81
PTPRE	81
SEMA4B	81
SLC9B1	81
SMOX	81
ST6GAL1	81
STAG3L4	81
STX18-AS1	81
SVEP1	81
TACC3	81
TAOK3	81
TNRC6B	81
USP48	81
ZNF354B	81
ABTB2	80
ADCY10	80
ANKRD20A7P	80
ARHGEF28	80
ATP2B4	80
ATP8B4	80
BCR	80
CCDC85C	80
CELF2	80
CEP89	80
CFAP77	80
CNTNAP4	80
DAPK1	80
DGLUCY	80
DLX2-DT	80
GPRIN2	80
HLA-DQB3	80
HUNK	80
LINC00624	80
LINC01483	80
LITATS1	80
MMP26	80
MROH8	80
MYO7B	80
NTRK2	80
PTCHD1-AS	80
SCARB1	80
SEZ6L	80
SLC43A2	80
SLIT1	80
SNRPN	80
SNTB1	80
SUFU	80
TARBP1	80
TIMP2	80
TRPS1	80
WDR27	80
ADAM32	79
ASAP2	79
ATP8A1	79
B4GALNT3	79
CRTC3	79
DISP1	79
DLG1	79
EPRS1	79
F13A1	79
FAM171A1	79
FANCA	79
HSPA12A	79
KCNN3	79
LINC01470	79
LINC02198	79
MIR325HG	79
MIR924HG	79
MUC2	79
MUC5AC	79
NOS1AP	79
PDE2A	79
PEBP4	79
PLA2G6	79
PPP1R3B-DT	79
PPP2R5E	79
RGS9	79
SLC2A9	79
SLCO3A1	79
SORBS1	79
SPTLC2	79
SSR1	79
TECPR2	79
TECRL	79
THSD7A	79
TRPV3	79
ABCC6	78
ADAMTS9-AS2	78
AHNAK2	78
ASCC1	78
ATAD2B	78
ATP10B	78
COLEC11	78
ECE1	78
EML6	78
GNA14	78
GON4L	78
GTF2IP14	78
HEATR5A	78
LINC00499	78
LINC00908	78
LINC01098	78
MAPKAP1	78
NLN	78
NPAS2	78
NR5A2	78
NUP54	78
PAQR5	78
PDE1A	78
PNPLA6	78
PSPH	78
SCN8A	78
SEMA6D	78
SLC15A2	78
SPATS2	78
STAG1	78
TMC5	78
TRIOBP	78
UGGT1	78
VEPH1	78
ZNF138	78
ABCA1	77
ACTN1	77
ANO10	77
AP2B1	77
ARAP2	77
CCDC33	77
CENPF	77
DNAH10	77
DNMT1	77
GPATCH1	77
IGHV4-61	77
KDM5A	77
KIF16B	77
LIMS1	77
LINC02422	77
LOXL2	77
MAD2L1-DT	77
MCF2L2	77
MRC1	77
MYLK	77
NELL2	77
NLRP2	77
P3H2	77
PRPSAP2	77
RCBTB1	77
RGL1	77
