run_id	metric_name	stage_funnel_summary_col_name	metric_value
run_2026_06_02_181024	validation_candidates_rows	stage12_validation_rows	879401
run_2026_06_03_010030	raw_called_variants	raw_variant_count	4662494
run_2026_06_03_010030	normalized_variants	normalized_variant_count	4662494
run_2026_06_03_010030	annotated_variants_vcf	annotated_variant_count	4636584
run_2026_06_03_010030	annotated_variants_tsv	stage08_total_variants	4636584
run_2026_06_03_010030	rdgp_gene_evidence_seed_rows	rdgp_gene_evidence_seed_rows	50230
run_2026_06_03_010030	coding_candidates	coding_candidates	24278
run_2026_06_03_010030	noncoding_candidates	noncoding_candidates	4609098
run_2026_06_03_010030	qc_flagged	qc_flagged	44460
run_2026_06_03_010030	splice_region_candidates	splice_region_candidates	3733
run_2026_06_03_010030	coding_interpreted_rows	stage09_coding_interpreted	27486
run_2026_06_03_010030	noncoding_interpreted_rows	stage10_noncoding_interpreted	4609098
run_2026_06_03_010030	prioritized_variants_rows	stage11_prioritized_rows	4636584
run_2026_06_03_010030	gene_variant_counts_rows	unique_gene_ids	50231
run_2026_06_03_010030	validation_candidates_rows	stage12_validation_rows	4636584
