sample_id	run_id	assay_type	run_classification	interpretation_domain	molecular_consequence	count
ERR10619300	run_2026_05_27_172531	WES	median	noncoding	utr_regulatory	118918
ERR10619309	run_2026_06_02_181024	WES	q1	coding	loss_of_function	511
ERR10619309	run_2026_06_02_181024	WES	q1	coding	missense	11303
ERR10619309	run_2026_06_02_181024	WES	q1	coding	other_coding	389
ERR10619309	run_2026_06_02_181024	WES	q1	coding	splice_relevant	2349
ERR10619309	run_2026_06_02_181024	WES	q1	coding	synonymous	11896
ERR10619309	run_2026_06_02_181024	WES	q1	coding	utr_regulatory	0
ERR10619309	run_2026_06_02_181024	WES	q1	noncoding	loss_of_function	0
ERR10619309	run_2026_06_02_181024	WES	q1	noncoding	missense	0
ERR10619309	run_2026_06_02_181024	WES	q1	noncoding	other_coding	707694
ERR10619309	run_2026_06_02_181024	WES	q1	noncoding	splice_relevant	3206
ERR10619309	run_2026_06_02_181024	WES	q1	noncoding	synonymous	12
ERR10619309	run_2026_06_02_181024	WES	q1	noncoding	utr_regulatory	142041
ERR10619330	run_2026_06_01_203130	WES	q1	coding	loss_of_function	556
ERR10619330	run_2026_06_01_203130	WES	q1	coding	missense	11681
ERR10619330	run_2026_06_01_203130	WES	q1	coding	other_coding	402
ERR10619330	run_2026_06_01_203130	WES	q1	coding	splice_relevant	2415
ERR10619330	run_2026_06_01_203130	WES	q1	coding	synonymous	12077
ERR10619330	run_2026_06_01_203130	WES	q1	coding	utr_regulatory	0
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	loss_of_function	0
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	missense	0
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	other_coding	778258
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	splice_relevant	3249
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	synonymous	17
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	utr_regulatory	154771
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	loss_of_function	789
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	missense	11573
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	other_coding	362
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	splice_relevant	2894
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	synonymous	11868
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	coding	utr_regulatory	0
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	loss_of_function	0
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	missense	0
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	other_coding	3972747
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	splice_relevant	3755
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	synonymous	17
HG002	run_2026_06_03_010030	WGS	benchmark_wgs	noncoding	utr_regulatory	632579
