SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619241	run_2026_06_02_052302	q1	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619241/tables	mkdir	ok	NA	directory ensured
ERR10619241	run_2026_06_02_052302	q1	directory	overlay_tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619241/sql_outputs/overlay_tiered_gene_outputs	mkdir	ok	NA	directory ensured
ERR10619241	run_2026_06_02_052302	q1	figure	ERR10619241_f5_interoperability_substrates.png	results/run_2026_06_02_052302/figures/ERR10619241_f5_interoperability_substrates.png	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619241/figures/ERR10619241_f5_interoperability_substrates.png	copy	ok	NA	copied actual VAP pluralized F5 filename
ERR10619241	run_2026_06_02_052302	q1	table	gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/cross_run_tables/gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619241/tables/gene_list_overlay_intersections.tsv	subset	ok	1140	subset by exact run_id
ERR10619241	run_2026_06_02_052302	q1	table	overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619241/tables/overlay_gene_coding_clinical_evidence.tsv	subset	ok	485	subset by exact run_id
ERR10619241	run_2026_06_02_052302	q1	overlay_tiered_gene_output	ERR10619241_tier1_unique_genes_mito_epi_overlay.tsv	results/run_2026_06_02_052302/logs/stage12_exploration/unique_genes/ERR10619241_tier1_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619241/sql_outputs/overlay_tiered_gene_outputs/ERR10619241_tier1_unique_genes_mito_epi_overlay.tsv	copy	ok	1	copied without renaming or content modification
ERR10619241	run_2026_06_02_052302	q1	overlay_tiered_gene_output	ERR10619241_tier2_unique_genes_mito_epi_overlay.tsv	results/run_2026_06_02_052302/logs/stage12_exploration/unique_genes/ERR10619241_tier2_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619241/sql_outputs/overlay_tiered_gene_outputs/ERR10619241_tier2_unique_genes_mito_epi_overlay.tsv	copy	ok	59	copied without renaming or content modification
ERR10619241	run_2026_06_02_052302	q1	overlay_tiered_gene_output	ERR10619241_tier3_unique_genes_mito_epi_overlay.tsv	results/run_2026_06_02_052302/logs/stage12_exploration/unique_genes/ERR10619241_tier3_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619241/sql_outputs/overlay_tiered_gene_outputs/ERR10619241_tier3_unique_genes_mito_epi_overlay.tsv	copy	ok	903	copied without renaming or content modification
ERR10619281	run_2026_05_27_233524	median	directory	figures		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/figures	mkdir	ok	NA	directory ensured
ERR10619281	run_2026_05_27_233524	median	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/tables	mkdir	ok	NA	directory ensured
ERR10619281	run_2026_05_27_233524	median	directory	overlay_tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/sql_outputs/overlay_tiered_gene_outputs	mkdir	ok	NA	directory ensured
ERR10619281	run_2026_05_27_233524	median	figure	ERR10619281_f5_interoperability_substrates.png	results/run_2026_05_27_233524/figures/ERR10619281_f5_interoperability_substrates.png	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/figures/ERR10619281_f5_interoperability_substrates.png	copy	ok	NA	copied actual VAP pluralized F5 filename
ERR10619281	run_2026_05_27_233524	median	table	gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/cross_run_tables/gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/tables/gene_list_overlay_intersections.tsv	subset	ok	1140	subset by exact run_id
ERR10619281	run_2026_05_27_233524	median	table	overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/tables/overlay_gene_coding_clinical_evidence.tsv	subset	ok	510	subset by exact run_id
ERR10619281	run_2026_05_27_233524	median	overlay_tiered_gene_output	ERR10619281_tier1_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_27_233524/logs/stage12_exploration/unique_genes/ERR10619281_tier1_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/sql_outputs/overlay_tiered_gene_outputs/ERR10619281_tier1_unique_genes_mito_epi_overlay.tsv	copy	ok	1	copied without renaming or content modification
ERR10619281	run_2026_05_27_233524	median	overlay_tiered_gene_output	ERR10619281_tier2_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_27_233524/logs/stage12_exploration/unique_genes/ERR10619281_tier2_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/sql_outputs/overlay_tiered_gene_outputs/ERR10619281_tier2_unique_genes_mito_epi_overlay.tsv	copy	ok	52	copied without renaming or content modification
