sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	gene_burden_rank	variant_count	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198804	MT-CO1	62	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198712	MT-CO2	153	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198938	MT-CO3	338	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198727	MT-CYB	63	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198888	MT-ND1	154	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198763	MT-ND2	339	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198840	MT-ND3	821	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198886	MT-ND4	155	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000212907	MT-ND4L	822	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198786	MT-ND5	30	4	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000198695	MT-ND6	340	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000186205	MTARC1	341	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000117791	MTARC2	823	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000137409	MTCH1	342	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000109919|ENSG00000285121	MTCH2	824	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000127989	MTERF1	343	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000120832	MTERF2	825	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000156469	MTERF3	826	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000122085	MTERF4	827	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000103707	MTFMT	156	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000242114	MTFP1	344	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000066855	MTFR1	64	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000117640	MTFR1L	828	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000146410	MTFR2	829	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000148824	MTG1	345	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000101181	MTG2	830	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000120254	MTHFD1L	157	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000065911	MTHFD2	831	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000163738	MTHFD2L	832	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000136371	MTHFS	346	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000085760	MTIF2	65	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000122033	MTIF3	833	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000135297	MTO1	834	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000107951	MTPAP	835	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
